Year,May,Jun,Jul,Aug,Sep
2001,1.2,2.1,-1.9,-2.0,0.4
2006,-1.7,-1.4,-2.8,2.6,-0.6
2011,0.7,1.0,1.2,-1.3,-2.7
2016,-0.9,0.2,1.1,3.5,2.4
2021,-0.1,-2.2,-3.2,2.6,-1.6
