Year,May,Jun,Jul,Aug,Sep
2001,4.53,6.35,2.12,2.31,3.5
2006,1.66,2.81,1.29,6.9,2.44
2011,4.04,5.28,5.23,3.03,0.36
2016,2.42,4.49,5.09,7.82,5.47
2021,3.28,2.06,0.87,6.88,1.48
