Month ,Precip (in) ,Min Tmp (°F) ,Avg Tmp (°F) ,Max Tmp (°F)
Jan,0.9,7.5,15.6,23.7
Feb,0.77,12.8,20.8,28.9
Mar,1.89,24.3,32.8,41.3
Apr,2.66,37.2,47.5,57.8
May,3.36,48.9,59.1,69.4
Jun,4.25,58.8,68.8,78.8
Jul,4.04,64.1,73.8,83.4
Aug,4.3,61.8,71.2,80.5
Sep,3.08,52.4,62,71.7
Oct,2.43,39.7,48.9,58
Nov,1.77,26.2,33.7,41.2
Dec,1.16,12.3,19.7,27.1
